"3-OxoFAanoyl-CoA",Intermediate
"3R-3-Hydroxybutanoyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetoacetyl-CoA",Intermediate
"Acetyl-CoA",Input/Output
"But-2-enoyl-CoA",Intermediate
"Butanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"FABaseoyl-CoA",Intermediate
"FAacid",Target
"FAanoyl-CoA",Intermediate
"H2O",Input/Output
"HCO3minus",Input/Output
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Input/Output
"NADPplus",Input/Output
"NADplus",Input/Output
"Orthophosphate",Input/Output
"S-HydroxyFAanoyl-CoA",Intermediate
"trans-FA-2-enoyl-CoA",Intermediate
