,ADP,ATP,Acetoacetyl-CoA,Acetyl-CoA,CO2,CoA,Dimethylallyl diphosphate,Fdred,Geranyl diphosphate,H2O,HCO3-,HMG-CoA,Hplus,Isopentanyl diphosphate,Limonene,Mevalonate,Mevalonate-5-diphosphate,Mevalonate-5-phosphate,NADH,NADPH,NADPplus,NADplus,Orthophosphate,Propionyl-CoA,Pyruvate,diphosphate,
,Input/Output,Input,Intermediate,Intermediate,Input/Output,Input/Output,Intermediate,Input,Intermediate,Input/Output,Intermediate,Intermediate,Input/Output,Intermediate,Target,Intermediate,Intermediate,Intermediate,Input,Intermediate,Input/Output,Input/Output,Input/Output,Intermediate,Intermediate,Input/Output,
CO2 + H2O → HCO3- + Hplus,0,0,0,0,-1,0,0,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1*CO2 + 1*HCO3- + 3*ATP + 1*NADH + 6*Fdred → 1*Acetyl-CoA,0,-3,0,1,-1,0,0,-6,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,,
2*Fdred + 1*Acetyl-CoA + 1*CO2 → 1*Pyruvate,0,0,0,-1,-1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
Acetyl-CoA + CO2 + 3*NADH→ Propionyl-CoA,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,1,0,0,,
2*Acetyl-CoA → Acetoacetyl-CoA + CoA,0,0,1,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetoacetyl-CoA + Acetyl-CoA + H2O → HMG-CoA + CoA,0,0,-1,-1,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
HMG-CoA + 2*NADPH + 2*Hplus → Mevalonate + CoA +2*NADPplus,0,0,0,0,0,1,0,0,0,0,0,-1,-2,0,0,1,0,0,0,-2,2,0,0,0,0,0,,
Mevalonate + ATP → ADP + Mevalonate-5-phosphate,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,,
ATP + Mevalonate-5-phosphate → ADP + Mevalonate-5-diphosphate,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,,
ATP + Mevalonate-5-diphosphate → ADP + Isopentanyl diphosphate + Orthophosphate + CO2,1,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,0,0,,
Isopentanyl diphosphate → Dimethylallyl diphosphate,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,,
Isopentanyl diphosphate + Dimethylallyl diphosphate → Geranyl diphosphate + diphosphate,0,0,0,0,0,0,-1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,,
Geranyl diphosphate → Limonene + diphosphate,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,
NADH + NADPplus → NADPH + NADplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,0,0,,
